"","base_id","LabID","Locus","1","2"
"1","102605","102605","14-5","101","107"
"2","102605","102605b","14-5","107","107"
"3","117103","117103","LB143","120","120"
"4","117103","117103b","LB143","110","120"
"5","117103","117103","LB145","87","103"
"6","117103","117103b","LB145","87","87"
"7","12509","12509","14-5","97","101"
"8","12509","12509b","14-5","99","99"
"9","12509","12509c","14-5","99","99"
"10","12509","12509","D1","302","302"
"11","12509","12509b","D1","103","302"
"12","12509","12509c","D1","103","302"
"13","12509","12509","LB133","103","115"
"14","12509","12509b","LB133","115","115"
"15","12509","12509c","LB133","115","115"
"16","12509","12509","LB142","90","94"
"17","12509","12509b","LB142","92","96"
"18","12509","12509c","LB142","92","96"
"19","12509","12509","LB143","110","118"
"20","12509","12509b","LB143","110","120"
"21","12509","12509c","LB143","110","120"
"22","12509","12509","LB145","103","103"
"23","12509","12509b","LB145","87","87"
"24","12509","12509c","LB145","87","87"
"25","12519","12519","LB142","90","98"
"26","12519","12519b","LB142","90","90"
"27","134074","134074","14-5","107","107"
"28","134074","134074b","14-5","105","107"
"29","134112","134112","LB143","118","120"
"30","134112","134112b","LB143","120","120"
"31","26451","26451","14-5","91","107"
"32","26451","26451b","14-5","91","91"
"33","26451","26451","LB145","83","103"
"34","26451","26451b","LB145","83","83"
"35","26452","26452","14-5","101","107"
"36","26452","26452b","14-5","107","107"
"37","62622","62622","14-5","97","99"
"38","62622","62622b","14-5","99","99"
"39","62742","62742","14-5","99","105"
"40","62742","62742b","14-5","99","107"
"41","6803","6803","LB133","105","107"
"42","6803","6803b","LB133","107","107"
