"","locus","inds.genoed","num.unique.genos","num.alleles.pos1","num.alleles.pos2","num.alleles.pos3"
"1","Dc00544",86,3,2,1,1
"2","Dc01018",121,3,2,1,1
"3","Dc01661",148,6,2,2,1
"4","Dc01707",149,9,2,2,1
"5","Dc01784",146,3,2,1,1
"6","Dc02951",149,3,2,1,1
"7","Dc03456",149,3,2,1,1
"8","Dc03556",148,3,2,1,1
"9","Dc05864",88,6,2,2,1
"10","Dc06503",88,2,2,1,1
"11","Dc07300",149,6,2,2,1
"12","Dc07937",142,5,2,2,1
"13","Dc08054",149,6,2,2,1
"14","Dc08189",138,5,2,2,1
"15","Dc08463",149,3,2,1,1
"16","Dc08578",83,6,2,2,1
"17","Dc08865",149,6,2,2,1
"18","Dc10003",109,3,2,1,1
"19","Dc10390",149,3,2,1,1
"20","Dc10878",101,3,2,1,1
"21","Dc10885",148,6,2,2,1
"22","Dc11203",149,3,2,2,1
"23","Dc11714",141,3,2,1,1
"24","Dc13159",134,5,2,2,1
"25","Dc13592",138,5,2,2,1
"26","Dc14022",145,2,2,1,1
"27","Dc14945",149,3,2,1,1
"28","Dc16747",125,3,2,1,1
"29","Dc18951",149,3,2,1,1
"30","Dc20232",146,5,2,2,1
"31","Dc22883",126,6,2,2,1
"32","Dc22887",149,3,2,1,1
"33","Dc27955",117,3,2,1,1
"34","Dc28124",149,2,2,1,1
"35","Dc28776",143,3,2,1,1
"36","Dc30071",148,3,2,1,1
"37","Dc31007",99,3,2,1,1
"38","Dc33714",148,5,2,2,1
"39","Dc33907",144,3,2,1,1
"40","Dc34902",149,3,2,1,1
"41","Dc35779",148,3,2,1,1
"42","Dc36571",138,3,2,1,1
"43","Dc36616",149,3,2,1,1
"44","Dc36767",89,6,2,2,1
"45","Dc40235",149,3,2,1,1
"46","Dc41234",97,6,2,2,1
"47","Dc46984",149,6,2,2,1
"48","Dc47572",149,5,2,2,1
"49","Dc47935",149,10,2,2,2
"50","Dc48207",132,2,2,1,1
"51","Dc48950",149,6,2,2,1
"52","Dc49080",149,3,2,1,1
"53","Dc49184",149,5,2,2,1
"54","Dc51020",149,3,2,1,1
"55","Dc52523",147,9,2,2,1
"56","Dc55481",130,3,2,1,1
"57","Dc58248",149,8,2,2,1
"58","Dc62188",149,6,2,2,1
"59","Dc67011",149,3,2,1,1
"60","locus002",103,3,2,1,1
"61","locus003",149,3,2,1,1
"62","locus004",149,3,2,1,1
"63","locus005",148,3,2,1,1
"64","locus006",149,3,2,1,1
"65","locus008",148,3,2,1,1
"66","locus013",149,3,2,1,1
"67","locus014",149,3,2,1,1
"68","locus016",141,3,2,1,1
"69","locus022",149,6,2,2,1
"70","locus024",147,3,2,1,1
"71","locus025",144,3,2,1,1
"72","locus027",93,3,2,1,1
"73","locus030",149,3,2,1,1
"74","locus035",148,3,2,1,1
"75","locus038",137,3,2,1,1
"76","locus039",148,3,2,1,1
"77","locus040",133,3,2,1,1
"78","locus041",135,3,2,1,1
"79","locus045",147,3,2,2,1
"80","locus047",149,3,2,1,1
"81","locus048",149,2,2,1,1
"82","locus053",149,6,2,2,1
"83","locus055",148,3,2,1,1
"84","locus056",149,3,2,1,1
"85","locus058",148,3,2,1,1
"86","locus060",149,3,2,1,1
"87","locus061",133,3,2,2,1
"88","locus062",149,3,2,1,1
"89","locus064",149,3,2,1,1
"90","locus065",149,2,2,1,1
"91","locus073",147,3,2,1,1
"92","locus074",149,3,2,1,1
"93","locus076",129,3,2,1,1
"94","locus077",140,2,2,1,1
"95","locus080",144,3,2,1,1
"96","locus083",131,3,2,1,1
"97","locus088",149,3,2,1,1
"98","locus093",112,2,2,1,1
"99","locus096",149,3,2,1,1
"100","locus098",135,3,2,1,1
